 
PGA:,  0.81 g
PGV:,  106.80 cm/s
PGD:,  15.90 cm
Arias Intensity:,  929.11 cm/s
Significant duration:,  21.75 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.126	, 0.809
0.1010	, 0.301	, 18.729	, 1.188
0.2010	, 1.067	, 33.363	, 1.063
0.3010	, 3.886	, 81.108	, 1.726
0.4010	, 7.008	, 109.808	, 1.754
0.5010	, 10.867	, 136.286	, 1.742
0.6010	, 16.507	, 172.578	, 1.839
0.7010	, 23.373	, 209.493	, 1.914
0.8010	, 45.567	, 357.435	, 2.858
0.9010	, 56.077	, 391.056	, 2.780
1.0010	, 47.478	, 298.013	, 1.907
1.1010	, 54.996	, 313.851	, 1.826
1.2010	, 58.510	, 306.102	, 1.632
1.3010	, 58.195	, 281.052	, 1.384
1.4010	, 55.039	, 246.837	, 1.128
1.5010	, 52.888	, 221.388	, 0.945
1.6010	, 56.631	, 222.252	, 0.889
1.7010	, 54.634	, 201.809	, 0.760
1.8010	, 50.305	, 175.500	, 0.624
1.9010	, 46.569	, 153.921	, 0.519
2.0010	, 43.255	, 135.823	, 0.435
2.1010	, 46.821	, 140.021	, 0.427
2.2010	, 49.344	, 140.862	, 0.410
2.3010	, 49.911	, 136.287	, 0.379
2.4010	, 49.189	, 128.724	, 0.343
2.5010	, 48.194	, 121.077	, 0.310
2.6010	, 47.176	, 113.962	, 0.281
2.7010	, 45.679	, 106.261	, 0.252
2.8010	, 43.204	, 96.915	, 0.222
2.9010	, 39.690	, 85.963	, 0.190
3.0010	, 35.554	, 74.439	, 0.159
3.1010	, 31.444	, 63.711	, 0.132
3.2010	, 29.840	, 58.573	, 0.117
3.3010	, 28.620	, 54.476	, 0.106
3.4010	, 27.378	, 50.580	, 0.095
3.5010	, 26.297	, 47.196	, 0.086
3.6010	, 25.447	, 44.401	, 0.079
3.7010	, 24.808	, 42.117	, 0.073
3.8010	, 24.293	, 40.157	, 0.068
3.9010	, 23.773	, 38.290	, 0.063
4.0010	, 23.148	, 36.352	, 0.058
4.1010	, 22.380	, 34.288	, 0.054
4.2010	, 21.462	, 32.099	, 0.049
4.3010	, 20.399	, 29.801	, 0.044
4.4010	, 19.227	, 27.450	, 0.040
4.5010	, 18.375	, 25.650	, 0.036
4.6010	, 18.366	, 25.081	, 0.035
4.7010	, 19.326	, 25.830	, 0.035
4.8010	, 20.329	, 26.606	, 0.035
4.9010	, 21.305	, 27.313	, 0.036
5.0010	, 22.203	, 27.895	, 0.036
