,SD_teff_xi,Number of Analyses,Collapses_LS_steel,Collapses_LS_concrete,Collapses_DC_steel,Collapses_DC_concrete,Collapses_ultiamte
0,1.0,154,0,0,0,0,0
1,3.0,90,0,0,0,0,0
2,5.0,78,0,0,0,0,0
3,7.0,70,0,0,0,0,0
4,9.0,67,4,1,0,0,0
5,11.0,29,2,0,0,0,0
6,13.0,46,7,3,0,0,0
7,15.0,39,8,3,0,0,0
8,17.0,25,4,1,0,0,0
9,19.0,20,5,0,0,0,0
10,21.0,18,3,0,0,0,0
11,23.0,21,10,2,0,0,0
12,25.0,33,19,4,1,0,1
13,27.0,17,9,5,0,0,0
14,29.0,16,6,1,0,0,0
15,31.0,9,3,1,0,0,0
16,33.0,6,2,1,0,0,0
17,35.0,8,6,3,0,0,0
18,37.0,7,5,2,0,0,0
19,39.0,7,7,2,0,0,0
20,41.0,8,7,1,1,0,0
21,43.0,5,5,3,1,0,1
22,45.0,5,4,0,0,0,0
23,47.0,4,4,2,0,0,0
24,49.0,2,2,1,0,0,0
25,51.0,3,2,3,1,0,1
26,53.0,2,2,1,0,0,0
27,55.0,8,8,6,1,0,0
28,57.0,2,2,0,0,0,0
29,59.0,4,4,1,0,0,0
30,61.0,2,2,0,0,0,0
31,63.0,2,2,1,1,0,0
32,65.0,1,1,1,0,0,0
33,67.0,1,1,1,0,0,0
34,69.0,1,1,0,0,0,0
35,71.0,0,0,0,0,0,0
36,73.0,1,1,1,1,0,1
37,75.0,0,0,0,0,0,0
38,77.0,0,0,0,0,0,0
39,79.0,1,1,1,1,0,1
40,81.0,0,0,0,0,0,0
41,83.0,1,1,1,1,0,1
42,85.0,1,1,0,1,0,0
43,87.0,0,0,0,0,0,0
44,89.0,0,0,0,0,0,0
45,91.0,0,0,0,0,0,0
46,93.0,1,1,1,1,0,1
47,95.0,0,0,0,0,0,0
48,97.0,0,0,0,0,0,0
49,99.0,0,0,0,0,0,0
50,101.0,0,0,0,0,0,0
51,103.0,0,0,0,0,0,0
52,105.0,0,0,0,0,0,0
53,107.0,0,0,0,0,0,0
54,109.0,0,0,0,0,0,0
55,111.0,0,0,0,0,0,0
56,113.0,1,1,0,1,0,1
57,115.0,0,0,0,0,0,0
58,117.0,1,1,0,0,0,0
59,119.0,1,1,0,0,0,0
60,121.0,0,0,0,0,0,0
61,123.0,0,0,0,0,0,0
62,125.0,0,0,0,0,0,0
63,127.0,0,0,0,0,0,0
64,129.0,1,1,1,1,0,1
65,131.0,0,0,0,0,0,0
66,133.0,1,1,1,1,0,1
67,135.0,3,3,0,1,0,0
68,137.0,0,0,0,0,0,0
69,139.0,0,0,0,0,0,0
70,141.0,0,0,0,0,0,0
71,143.0,0,0,0,0,0,0
72,145.0,0,0,0,0,0,0
73,147.0,0,0,0,0,0,0
74,149.0,0,0,0,0,0,0
75,151.0,0,0,0,0,0,0
76,153.0,0,0,0,0,0,0
77,155.0,0,0,0,0,0,0
78,157.0,0,0,0,0,0,0
79,159.0,0,0,0,0,0,0
80,161.0,0,0,0,0,0,0
81,163.0,0,0,0,0,0,0
82,165.0,0,0,0,0,0,0
83,167.0,0,0,0,0,0,0
84,169.0,0,0,0,0,0,0
85,171.0,0,0,0,0,0,0
86,173.0,0,0,0,0,0,0
87,175.0,0,0,0,0,0,0
88,177.0,0,0,0,0,0,0
89,179.0,0,0,0,0,0,0
90,181.0,0,0,0,0,0,0
91,183.0,0,0,0,0,0,0
92,185.0,0,0,0,0,0,0
93,187.0,0,0,0,0,0,0
94,189.0,0,0,0,0,0,0
95,191.0,0,0,0,0,0,0
96,193.0,0,0,0,0,0,0
97,195.0,0,0,0,0,0,0
98,197.0,0,0,0,0,0,0
99,199.0,0,0,0,0,0,0
100,201.0,0,0,0,0,0,0
101,203.0,0,0,0,0,0,0
102,205.0,0,0,0,0,0,0
103,207.0,0,0,0,0,0,0
104,209.0,0,0,0,0,0,0
105,211.0,0,0,0,0,0,0
106,213.0,0,0,0,0,0,0
107,215.0,0,0,0,0,0,0
108,217.0,0,0,0,0,0,0
109,219.0,0,0,0,0,0,0
110,221.0,0,0,0,0,0,0
111,223.0,0,0,0,0,0,0
112,225.0,0,0,0,0,0,0
113,227.0,0,0,0,0,0,0
114,229.0,0,0,0,0,0,0
115,231.0,0,0,0,0,0,0
116,233.0,0,0,0,0,0,0
117,235.0,0,0,0,0,0,0
118,237.0,0,0,0,0,0,0
119,239.0,0,0,0,0,0,0
120,241.0,0,0,0,0,0,0
121,243.0,0,0,0,0,0,0
122,245.0,0,0,0,0,0,0
123,247.0,0,0,0,0,0,0
